Group ID,Family,Channel,Product,Normalized Specification,Dosage Form,Current Retail Price,Price Display,Planned Catalog Status,Recommended Action,Selected Supplier,Quality / Regulatory Notes
GRP-0214,503A Clinical Formulations,Clinical / Provider Only,Testosterone,TESTOSTERONE 14MG/GM TOPICAL CREAM,Topical Cream,112.5,$112.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0215,503A Clinical Formulations,Clinical / Provider Only,Testosterone,TESTOSTERONE 200MG/GM TOPICAL CREAM,Topical Cream,112.5,$112.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0216,503A Clinical Formulations,Clinical / Provider Only,Testosterone,TESTOSTERONE 30MG/GM TOPICAL CREAM,Topical Cream,112.5,$112.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0217,503A Clinical Formulations,Clinical / Provider Only,Testosterone,TESTOSTERONE 50MG/GM TOPICAL CREAM,Topical Cream,112.5,$112.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0218,503A Clinical Formulations,Clinical / Provider Only,Testosterone Cyp,TESTOSTERONE CYP 200MG/ML COTTON SEED OIL (10ML),Compounded Vial / Liquid,75,$75.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0219,503A Clinical Formulations,Clinical / Provider Only,Testosterone Cyp,TESTOSTERONE CYP 200MG/ML GRAPE SEED OIL (10ML),Compounded Vial / Liquid,125,$125.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0220,503A Clinical Formulations,Clinical / Provider Only,Testosterone Cyp,TESTOSTERONE CYP 200MG/ML GRAPE SEED OIL (5ML),Compounded Vial / Liquid,62.5,$62.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0221,503A Clinical Formulations,Clinical / Provider Only,Testosterone Cyp,TESTOSTERONE CYP 200MG/ML MCT OIL (5ML),Compounded Vial / Liquid,75,$75.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0222,503A Clinical Formulations,Clinical / Provider Only,Testosterone Cyp,TESTOSTERONE CYP 20MG/ML GRAPE SEED OIL (2ML),Compounded Vial / Liquid,62.5,$62.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0223,503A Clinical Formulations,Clinical / Provider Only,Testosterone Cyp,TESTOSTERONE CYP 50MG/ML GRAPE SEED OIL (2ML),Compounded Vial / Liquid,62.5,$62.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0224,503A Clinical Formulations,Clinical / Provider Only,Testosterone Ent,TESTOSTERONE ENT 200MG/ML GRAPE SEED OIL (5ML),Compounded Vial / Liquid,100,$100.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0225,503A Clinical Formulations,Clinical / Provider Only,Testosterone Pro,TESTOSTERONE PRO 100MG/ML GRAPE SEED OIL (5ML),Compounded Vial / Liquid,137.5,$137.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0226,503A Clinical Formulations,Clinical / Provider Only,Thymosin Alpha-1,THYMOSIN ALPHA-1 3MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0227,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 10.5MG-500MCG/ML (5ML) (52.5mg vial),Compounded Vial / Liquid,812.5,$812.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0228,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 10MG-500MCG/ML (3ML) (30mg vial),Compounded Vial / Liquid,750,$750.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0229,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 12MG-500MCG/ML (2ML) (24mg vial),Compounded Vial / Liquid,375,$375.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0230,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 17MG-500MCG/ML (2ML) (34mg vial),Compounded Vial / Liquid,562.5,$562.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0231,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 20MG-500MCG/ML (3ML) (60mg vial),Compounded Vial / Liquid,850,$850.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0232,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 22MG-500MCG/ML (2ML) (44mg vial),Compounded Vial / Liquid,687.5,$687.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0233,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 28MG-500MCG/ML (2ML) (56mg vial),Compounded Vial / Liquid,812.5,$812.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0234,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 30MG-500MCG/ML (6ML) (180mg vial),Compounded Vial / Liquid,2250,"$2,250.00",Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0235,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 33MG-500MCG/ML (2ML) (66mg vial),Compounded Vial / Liquid,937.5,$937.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0236,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + B12,TIRZEPATIDE/B12 6MG-500MCG/ML (2ML) (12mg vial),Compounded Vial / Liquid,212.5,$212.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0237,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + Glycine,TIRZEPATIDE/GLYCINE 15MG-2.5MG/0.5ML (2ML) (60mg vial),Compounded Vial / Liquid,750,$750.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0238,503A Clinical Formulations,Clinical / Provider Only,Tirzepatide + Glycine,TIRZEPATIDE/GLYCINE 15MG-2.5MG/0.5ML (6ML) (180mg vial),Compounded Vial / Liquid,2250,"$2,250.00",Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0239,503A Clinical Formulations,Clinical / Provider Only,Trimix (Papaverine,TRIMIX (Papaverine 30mg / Phentolamine 1mg / Alprostadil 20mcg per mL) (5ML),Compounded Vial / Liquid,162.5,$162.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0240,503A Clinical Formulations,Clinical / Provider Only,VITAMIN B-COMPLEX,"VITAMIN B-COMPLEX (Thiamine 100mg, Niacinamide 100mg, Riboflavin-5- Phosphate 2mg, Pyridoxine 2mg per mL) (30ML)",Compounded Vial / Liquid,100,$100.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0241,503A Clinical Formulations,Clinical / Provider Only,Vardenafil,VARDENAFIL 20MG TROCHE,Troche,11.25,$11.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0242,503A Clinical Formulations,Clinical / Provider Only,"Vitamin D3 50,000Iu + Ml (30Ml)","VITAMIN D3 50,000IU/ML (30ML)",Compounded Vial / Liquid,137.5,$137.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0243,Research Capsules,RUO Research,5-Amino-1MQ,5-AMINO-1MQ 50 mg,Capsule / Bottle,472.5,$472.50,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0244,Research Capsules,RUO Research,BAM15,BAM15 500 mcg,Capsule / Bottle,,Price on request,Price / clarification required,Request a usable numeric wholesale price and confirm package basis before activation.,Unity / Peptaris,
GRP-0245,Research Capsules,RUO Research,BPC-157,BPC-157 500 mcg,Capsule / Bottle,372.5,$372.50,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0246,Research Capsules,RUO Research,Blend BPC-157 + TB-500,BLEND BPC-157 + TB-500 500/500 mcg,Capsule / Bottle,600,$600.00,New supplier-only item,"Assess demand, compliance, documentation, inventory, and margin before adding to the planned catalog.",Unity / Peptaris,
GRP-0247,Research Capsules,RUO Research,Dihexa,DIHEXA 10 mg,Capsule / Bottle,297.5,$297.50,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval. Confirm the supplier's legal company name and full commercial terms.",Top Peptides Quote (supplier name pending),✅ Category 1
GRP-0248,Research Capsules,RUO Research,GHK-Cu,GHK-Cu 2 mg,Capsule / Bottle,290,$290.00,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0249,Research Capsules,RUO Research,KPV,KPV 500 mcg,Capsule / Bottle,290,$290.00,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0250,Research Capsules,RUO Research,SLU-PP-332,SLU-PP-332 250 mcg,Capsule / Bottle,247.5,$247.50,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval. Confirm the supplier's legal company name and full commercial terms.",Top Peptides Quote (supplier name pending),✅ Category 1
GRP-0251,Research Capsules,RUO Research,SLU-PP-332,SLU-PP-332 500 mcg,Capsule / Bottle,297.5,$297.50,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0252,Research Capsules,RUO Research,Sermorelin,SERMORELIN 500 mcg,Capsule / Bottle,337.5,$337.50,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0253,Research Capsules,RUO Research,TB-500,TB-500 500 mcg,Capsule / Bottle,295,$295.00,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0254,Research Capsules,RUO Research,Tesofensine,TESOFENSINE 500 mcg,Capsule / Bottle,297.5,$297.50,New supplier-only item,"Assess demand, compliance, documentation, inventory, and margin before adding to the planned catalog.",Unity / Peptaris,
GRP-0255,Research Capsules,RUO Research,Thymosin Alpha-1,Thymosin Alpha-1 500 mcg,Capsule / Bottle,340,$340.00,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0395,Research Capsules,Supplier Catalog / Classification Pending,Colostrum,Colostrum (100mg x 90 Capsules),Capsule / Bottle,222.5,$222.50,New supplier item - planning review,"Confirm dosage form, intended-use classification, COA/lot documentation, testing, inventory, tier/MOQ applicability, lead time and fulfillment terms before activation.",Alpha BioMed,"Alpha BioMed price list provides tiered pricing but does not state dosage form, COA/lot status, testing, storage, intended-use classification, lead time, or fulfillment terms. Confirm comparability and documentation before activation."
GRP-0418,Research Capsules,Supplier Catalog / Classification Pending,Tesofensine,Tesofensine (500mcg) Capsules x100,Capsule / Bottle,500,$500.00,New supplier item - planning review,"Confirm dosage form, intended-use classification, COA/lot documentation, testing, inventory, tier/MOQ applicability, lead time and fulfillment terms before activation.",Alpha BioMed,"Alpha BioMed price list provides tiered pricing but does not state dosage form, COA/lot status, testing, storage, intended-use classification, lead time, or fulfillment terms. Confirm comparability and documentation before activation."
GRP-0419,Research Capsules,Supplier Catalog / Classification Pending,Tesofensine,Tesofensine (500mcg) Capsules x30,Capsule / Bottle,175,$175.00,New supplier item - planning review,"Confirm dosage form, intended-use classification, COA/lot documentation, testing, inventory, tier/MOQ applicability, lead time and fulfillment terms before activation.",Alpha BioMed,"Alpha BioMed price list provides tiered pricing but does not state dosage form, COA/lot status, testing, storage, intended-use classification, lead time, or fulfillment terms. Confirm comparability and documentation before activation."
GRP-0256,Research Peptides & Materials,RUO Research,5-Amino-1Mq,5-AMINO-1MQ 10 mg,Lyophilized Vial,171.875,$171.88,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0261,Research Peptides & Materials,RUO Research,AOD-9604,AOD-9604 5 mg,Lyophilized Vial,49,$49.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0257,Research Peptides & Materials,RUO Research,ARA-290,ARA-290 10 mg,Lyophilized Vial,195,$195.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval.",Unity / Peptaris,
GRP-0258,Research Peptides & Materials,RUO Research,ARA-290,ARA-290 15 mg,Lyophilized Vial,237.5,$237.50,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0259,Research Peptides & Materials,RUO Research,ARA-290,ARA-290 5 mg,Lyophilized Vial,165,$165.00,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0260,Research Peptides & Materials,RUO Research,Aod-9604,AOD-9604 10 mg,Lyophilized Vial,89,$89.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0262,Research Peptides & Materials,RUO Research,BPC-157,BPC-157 10 mg,Lyophilized Vial,49,$49.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0263,Research Peptides & Materials,RUO Research,BPC-157,BPC-157 15 mg,Lyophilized Vial,167.5,$167.50,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0264,Research Peptides & Materials,RUO Research,BPC-157,BPC-157 5 mg,Lyophilized Vial,33.5,$33.50,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval.",Raw Peptides,Research use only; batch tested; cold chain protected (per flyer)
GRP-0265,Research Peptides & Materials,RUO Research,BPC-157 + TB-500,BPC-157 10 mg + TB-500 10 mg,Lyophilized Vial,99,$99.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0266,Research Peptides & Materials,RUO Research,BPC-157 + TB-500,BPC-157 15 mg + TB-500 15 mg,Lyophilized Vial,181.25,$181.25,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval.",Unity / Peptaris,
GRP-0267,Research Peptides & Materials,RUO Research,BPC-157 + TB-500,BPC-157 5 mg + TB-500 5 mg,Lyophilized Vial,79,$79.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0268,Research Peptides & Materials,RUO Research,CJC-1295 (No DAC) + Ipamorelin,CJC-1295 (No DAC) 10 mg + IPAMORELIN 10 mg,Lyophilized Vial,187.5,$187.50,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval.",Unity / Peptaris,
GRP-0269,Research Peptides & Materials,RUO Research,CJC-1295 (No DAC) + Ipamorelin,CJC-1295 (No DAC) 5 mg + IPAMORELIN 5 mg,Lyophilized Vial,79,$79.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval. Confirm the exact formulation before treating it as an overlap or activating it.",Raw Peptides,Research use only; batch tested; cold chain protected (per flyer)
GRP-0270,Research Peptides & Materials,RUO Research,CJC-1295 No Dac,CJC-1295 NO DAC 10 mg,Lyophilized Vial,105,$105.00,New supplier-only item,"Confirm Alpha BioMed form, intended-use classification, COA/lot documentation, testing, inventory, lead time and fulfillment terms before activating this selected supplier.",Alpha BioMed,"Alpha BioMed price list provides tiered pricing but does not state dosage form, COA/lot status, testing, storage, intended-use classification, lead time, or fulfillment terms. Confirm comparability and documentation before activation."
GRP-0271,Research Peptides & Materials,RUO Research,CJC-1295 No Dac,CJC-1295 NO DAC 2 mg,Lyophilized Vial,162.5,$162.50,New supplier-only item,"Assess demand, compliance, documentation, inventory, and margin before adding to the planned catalog.",Unity / Peptaris,
GRP-0272,Research Peptides & Materials,RUO Research,CJC-1295 With Dac,CJC-1295 WITH DAC 2 mg,Lyophilized Vial,100,$100.00,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0273,Research Peptides & Materials,RUO Research,CJC-1295 With Dac,CJC-1295 WITH DAC 5 mg,Lyophilized Vial,187.5,$187.50,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval.",Unity / Peptaris,
GRP-0274,Research Peptides & Materials,RUO Research,Cagrilintide,CAGRILINTIDE 10 mg,Lyophilized Vial,109,$109.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0275,Research Peptides & Materials,RUO Research,Cagrilintide,CAGRILINTIDE 5 mg,Lyophilized Vial,59,$59.00,Alternate strength / format,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0276,Research Peptides & Materials,RUO Research,Cagrilintide + Semaglutide,CAGRILINTIDE 10 mg + SEMAGLUTIDE 10 mg,Lyophilized Vial,231.25,$231.25,New supplier-only item,"Assess demand, compliance, documentation, inventory, and margin before adding to the planned catalog.",Unity / Peptaris,
GRP-0277,Research Peptides & Materials,RUO Research,Cagrilintide + Semaglutide,CAGRILINTIDE 5 mg + SEMAGLUTIDE 5 mg,Lyophilized Vial,187.5,$187.50,New supplier-only item,"Assess demand, compliance, documentation, inventory, and margin before adding to the planned catalog.",Unity / Peptaris,
GRP-0278,Research Peptides & Materials,RUO Research,DSIP,DSIP 10 mg,Lyophilized Vial,49,$49.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner only after legal supplier identity, exact formulation, COA/lot documentation, testing scope, inventory, storage, lead time, and fulfillment terms are confirmed in writing.",New Box-of-10 Supplier (legal name pending),"Pricing supplied only. COA/lot, identity, purity, quantity, sterility/endotoxin where applicable, storage, intended-use classification, inventory, lead time, and fulfillment terms were not supplied and must be confirmed before activation."
GRP-0279,Research Peptides & Materials,RUO Research,DSIP + Selank,DSIP 2 mg + SELANK 10 mg,Lyophilized Vial,170,$170.00,New supplier-only item,"Assess demand, compliance, documentation, inventory, and margin before adding to the planned catalog.",Unity / Peptaris,
GRP-0280,Research Peptides & Materials,RUO Research,Dihexa,DIHEXA 10 mg,Lyophilized Vial,175,$175.00,Already represented in planned catalog,"Use the selected supplier as the current cost winner, subject to quality, inventory, and fulfillment approval.",Unity / Peptaris,
GRP-0281,Research Peptides & Materials,RUO Research,Dsip,DSIP 5 mg,Lyophilized Vial,62.5,$62.50,Already represented in planned catalog,"Confirm Alpha BioMed form, intended-use classification, COA/lot documentation, testing, inventory, lead time and fulfillment terms before activating this selected supplier.",Alpha BioMed,"Alpha BioMed price list provides tiered pricing but does not state dosage form, COA/lot status, testing, storage, intended-use classification, lead time, or fulfillment terms. Confirm comparability and documentation before activation."
GRP-0282,Research Peptides & Materials,RUO Research,Epithalon,EPITHALON 10 mg,Lyophilized Vial,62.5,$62.50,Already represented in planned catalog,"Confirm Alpha BioMed form, intended-use classification, COA/lot documentation, testing, inventory, lead time and fulfillment terms before activating this selected supplier.",Alpha BioMed,"Alpha BioMed price list provides tiered pricing but does not state dosage form, COA/lot status, testing, storage, intended-use classification, lead time, or fulfillment terms. Confirm comparability and documentation before activation."
GRP-0283,Research Peptides & Materials,RUO Research,Epithalon,EPITHALON 20 mg,Lyophilized Vial,159.375,$159.38,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0284,Research Peptides & Materials,RUO Research,Epithalon,EPITHALON 30 mg,Lyophilized Vial,162.5,$162.50,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
GRP-0285,Research Peptides & Materials,RUO Research,Epithalon,EPITHALON 35 mg,Lyophilized Vial,175,$175.00,Alternate strength / format,"Evaluate as an additional variant. Add only if the strength, package, or formulation fills a real catalog gap.",Unity / Peptaris,
